LAT,LONG,SHORT_NAME
37.00,127.50,South Korea
8.00,30.00,South Sudan
40.00,-4.00,Spain
7.00,81.00,Sri Lanka
16.00,30.00,Sudan
4.00,-56.00,Suriname
78.00,20.00,Svalbard
-26.50,31.50,Swaziland
62.00,15.00,Sweden
47.00,8.00,Switzerland
35.00,38.00,Syria
24.00,121.00,Taiwan
39.00,71.00,Tajikistan
-6.00,35.00,Tanzania
15.00,100.00,Thailand
-8.83,125.75,Timor-Leste
8.00,1.17,Togo
-9.00,-171.75,Tokelau
-20.00,-175.00,Tonga
11.00,-61.00,Trinidad and Tobago
-15.87,54.42,Tromelin Island
34.00,9.00,Tunisia
39.06,34.91,Turkey
40.00,60.00,Turkmenistan
21.73,-71.58,Turks and Caicos Islands
-8.00,178.00,Tuvalu
2.00,33.00,Uganda
49.00,32.00,Ukraine
24.00,54.00,United Arab Emirates
54.00,-4.00,United Kingdom
39.83,-98.58,United States
-33.00,-56.00,Uruguay
5.88,-162.07,US Minor Outlying Islands
18.35,-64.98,US Virgin Islands
41.71,63.85,Uzbekistan
-16.00,167.00,Vanuatu
41.90,12.45,Vatican City
8.00,-66.00,Venezuela
16.17,107.83,Vietnam
-13.30,-176.20,Wallis and Futuna
31.67,35.25,West Bank
25.00,-13.50,Western Sahara
15.50,47.50,Yemen
-15.00,30.00,Zambia
-19.00,29.00,Zimbabwe
